epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6150.09,1.57374,1.72694,0.99826,0.30106,0.24928,0.21102,0.12019,1.44629,1.27348,0.952,0.000237388,0.000237388,0.000237388
2,11057.1,1.49898,1.23204,0.95809,0.35293,0.2451,0.22892,0.13358,1.45849,1.16107,0.94012,0.0004597,0.0004597,0.0004597
3,15812.8,1.48042,1.18782,0.95255,0.38142,0.28319,0.26348,0.15304,1.39399,1.15342,0.93069,0.000666305,0.000666305,0.000666305
4,20481.3,1.45343,1.14205,0.94341,0.40626,0.29976,0.28611,0.16729,1.37317,1.06144,0.92408,0.000643314,0.000643314,0.000643314
5,25402.8,1.42389,1.10883,0.9381,0.42598,0.31272,0.30619,0.17905,1.34434,1.0557,0.91863,0.000619752,0.000619752,0.000619752
6,30122.3,1.4129,1.08361,0.93344,0.43376,0.31497,0.30675,0.17983,1.3556,1.02862,0.918,0.00059619,0.00059619,0.00059619
7,34911,1.3936,1.05183,0.92915,0.44882,0.33701,0.3295,0.1947,1.31386,0.99112,0.91232,0.000572628,0.000572628,0.000572628
8,39584.4,1.37935,1.03746,0.92598,0.44971,0.33945,0.33831,0.20001,1.32088,0.97617,0.91026,0.000549066,0.000549066,0.000549066
9,44451.7,1.3747,1.01892,0.92439,0.45484,0.34859,0.34472,0.20366,1.29092,0.957,0.90671,0.000525504,0.000525504,0.000525504
10,49177.3,1.36057,1.00812,0.92119,0.47056,0.36038,0.35577,0.21113,1.27426,0.94456,0.90218,0.000501942,0.000501942,0.000501942
11,54037.4,1.35444,0.99537,0.91726,0.47299,0.36014,0.36415,0.21726,1.26898,0.92324,0.89853,0.00047838,0.00047838,0.00047838
12,58760.5,1.33824,0.97885,0.91488,0.47299,0.36462,0.36381,0.21793,1.27656,0.92713,0.90078,0.000454818,0.000454818,0.000454818
13,63494,1.34079,0.9732,0.91398,0.48896,0.38019,0.3823,0.23005,1.24723,0.90117,0.89694,0.000431256,0.000431256,0.000431256
14,68272.5,1.32095,0.95052,0.91042,0.48782,0.37447,0.37963,0.22771,1.25468,0.89643,0.89492,0.000407694,0.000407694,0.000407694
15,73010.4,1.31909,0.94673,0.90984,0.50042,0.3792,0.38828,0.23252,1.24486,0.88033,0.89366,0.000384132,0.000384132,0.000384132
16,77796.4,1.30697,0.93308,0.90755,0.50462,0.38744,0.39363,0.23856,1.22623,0.86919,0.89164,0.00036057,0.00036057,0.00036057
17,83075.9,1.30014,0.92312,0.90607,0.51074,0.38156,0.39579,0.23652,1.24168,0.87009,0.89084,0.000337008,0.000337008,0.000337008
18,88932.8,1.29454,0.914,0.90497,0.5188,0.391,0.40489,0.24251,1.22441,0.85598,0.88803,0.000313446,0.000313446,0.000313446
19,94807.8,1.29439,0.91104,0.90256,0.52065,0.40368,0.41379,0.25124,1.20816,0.83615,0.88493,0.000289884,0.000289884,0.000289884
20,99620.7,1.27611,0.89154,0.90033,0.52287,0.40535,0.41405,0.25008,1.20977,0.82672,0.88493,0.000266322,0.000266322,0.000266322
21,104282,1.25819,0.87623,0.90037,0.53588,0.39459,0.4112,0.2467,1.22667,0.83786,0.88702,0.00024276,0.00024276,0.00024276
22,109111,1.24502,0.85275,0.89698,0.54188,0.40534,0.42277,0.25743,1.20615,0.81921,0.88493,0.000219198,0.000219198,0.000219198
23,113895,1.23568,0.84091,0.89565,0.53351,0.40817,0.42438,0.2582,1.19829,0.81213,0.88315,0.000195636,0.000195636,0.000195636
24,118669,1.22913,0.83361,0.89463,0.54355,0.41719,0.43269,0.26415,1.1902,0.7999,0.88071,0.000172074,0.000172074,0.000172074
25,123468,1.21747,0.82099,0.89066,0.5511,0.4155,0.43674,0.26619,1.19049,0.79385,0.88067,0.000148512,0.000148512,0.000148512
26,128204,1.21078,0.81003,0.89047,0.56202,0.41581,0.43803,0.26913,1.17798,0.78575,0.87917,0.00012495,0.00012495,0.00012495
27,133035,1.20572,0.80083,0.88896,0.56915,0.42065,0.44588,0.27358,1.17396,0.77776,0.87727,0.000101388,0.000101388,0.000101388
28,137753,1.20097,0.79411,0.88723,0.57058,0.42116,0.44747,0.27433,1.17018,0.77219,0.87633,7.7826e-05,7.7826e-05,7.7826e-05
29,142499,1.18863,0.78167,0.88322,0.57557,0.4236,0.45111,0.27838,1.16187,0.76316,0.87477,5.4264e-05,5.4264e-05,5.4264e-05
30,147301,1.18929,0.77666,0.88429,0.58157,0.42308,0.45351,0.27992,1.1594,0.75973,0.87438,3.0702e-05,3.0702e-05,3.0702e-05
